CMDLINE python pure_python.py
MEM 1.132812 1618059753.7767
MEM 17.300781 1618059753.8770
MEM 17.617188 1618059753.9773
MEM 17.636719 1618059754.0776
MEM 17.636719 1618059754.1779
MEM 17.636719 1618059754.2781
MEM 17.636719 1618059754.3784
MEM 17.890625 1618059754.4787
MEM 17.953125 1618059754.5789
MEM 17.953125 1618059754.6792
MEM 17.953125 1618059754.7794
MEM 17.953125 1618059754.8797
MEM 18.207031 1618059754.9800
MEM 18.269531 1618059755.0802
MEM 18.269531 1618059755.1805
MEM 18.269531 1618059755.2807
MEM 18.523438 1618059755.3810
MEM 18.578125 1618059755.4812
MEM 18.578125 1618059755.5815
MEM 18.578125 1618059755.6817
MEM 18.578125 1618059755.7820
MEM 18.832031 1618059755.8822
MEM 18.886719 1618059755.9825
MEM 18.886719 1618059756.0827
MEM 18.886719 1618059756.1829
MEM 19.140625 1618059756.2832
MEM 19.199219 1618059756.3834
MEM 19.199219 1618059756.4837
MEM 19.433594 1618059756.5839
MEM 19.433594 1618059756.6841
MEM 19.433594 1618059756.7844
MEM 19.652344 1618059756.8846
MEM 19.652344 1618059756.9849
MEM 19.652344 1618059757.0851
MEM 19.894531 1618059757.1854
MEM 19.945312 1618059757.2856
MEM 19.945312 1618059757.3859
MEM 19.945312 1618059757.4861
MEM 20.199219 1618059757.5863
MEM 20.253906 1618059757.6866
MEM 20.253906 1618059757.7868
MEM 20.253906 1618059757.8870
MEM 20.253906 1618059757.9873
MEM 20.507812 1618059758.0875
MEM 20.566406 1618059758.1878
MEM 20.566406 1618059758.2880
MEM 20.566406 1618059758.3882
MEM 20.832031 1618059758.4885
MEM 20.878906 1618059758.5887
MEM 20.878906 1618059758.6889
MEM 20.878906 1618059758.7891
MEM 21.132812 1618059758.8894
MEM 21.191406 1618059758.9897
MEM 21.222656 1618059759.0900
MEM 21.222656 1618059759.1903
MEM 21.222656 1618059759.2906
MEM 21.222656 1618059759.3909
MEM 21.500000 1618059759.4912
MEM 17.746094 1618059759.5915
MEM 17.746094 1618059759.6918
MEM 17.746094 1618059759.7920
MEM 17.746094 1618059759.8923
MEM 17.746094 1618059759.9926
MEM 17.746094 1618059760.0928
MEM 17.996094 1618059760.1931
MEM 17.996094 1618059760.2933
MEM 17.996094 1618059760.3936
MEM 17.996094 1618059760.4938
MEM 18.265625 1618059760.5941
MEM 18.265625 1618059760.6944
MEM 18.265625 1618059760.7947
MEM 18.265625 1618059760.8949
MEM 18.519531 1618059760.9952
MEM 18.578125 1618059761.0955
MEM 18.578125 1618059761.1958
MEM 18.578125 1618059761.2961
MEM 18.578125 1618059761.3964
MEM 18.832031 1618059761.4967
MEM 18.886719 1618059761.5970
MEM 18.886719 1618059761.6972
MEM 18.886719 1618059761.7975
MEM 18.886719 1618059761.8978
MEM 19.140625 1618059761.9981
MEM 19.199219 1618059762.0984
MEM 19.199219 1618059762.1987
MEM 19.199219 1618059762.2990
MEM 19.199219 1618059762.3993
MEM 19.453125 1618059762.4996
MEM 19.511719 1618059762.5999
MEM 19.511719 1618059762.7002
MEM 19.511719 1618059762.8005
MEM 19.511719 1618059762.9007
MEM 19.765625 1618059763.0010
MEM 19.824219 1618059763.1012
MEM 19.824219 1618059763.2015
MEM 19.824219 1618059763.3017
MEM 20.078125 1618059763.4020
MEM 20.136719 1618059763.5022
MEM 20.136719 1618059763.6025
MEM 20.136719 1618059763.7028
MEM 20.136719 1618059763.8031
MEM 20.390625 1618059763.9034
MEM 20.449219 1618059764.0036
MEM 20.449219 1618059764.1039
MEM 20.449219 1618059764.2042
MEM 20.703125 1618059764.3044
MEM 20.757812 1618059764.4047
MEM 20.757812 1618059764.5050
MEM 20.757812 1618059764.6053
MEM 20.757812 1618059764.7055
MEM 21.070312 1618059764.8058
MEM 21.070312 1618059764.9060
MEM 21.070312 1618059765.0063
MEM 21.070312 1618059765.1066
MEM 21.324219 1618059765.2069
MEM 21.378906 1618059765.3071
MEM 18.390625 1618059765.4074
MEM 18.390625 1618059765.5077
MEM 18.390625 1618059765.6079
MEM 18.390625 1618059765.7081
MEM 18.390625 1618059765.8084
MEM 18.640625 1618059765.9087
MEM 18.640625 1618059766.0089
MEM 18.640625 1618059766.1091
MEM 18.640625 1618059766.2094
MEM 18.640625 1618059766.3097
MEM 18.890625 1618059766.4100
MEM 18.890625 1618059766.5103
MEM 18.890625 1618059766.6105
MEM 18.890625 1618059766.7108
MEM 19.140625 1618059766.8111
MEM 19.140625 1618059766.9114
MEM 19.140625 1618059767.0117
MEM 19.140625 1618059767.1119
MEM 19.390625 1618059767.2122
MEM 19.390625 1618059767.3124
MEM 19.390625 1618059767.4127
MEM 19.390625 1618059767.5130
MEM 19.390625 1618059767.6133
MEM 19.640625 1618059767.7136
MEM 19.640625 1618059767.8139
MEM 19.640625 1618059767.9141
MEM 19.640625 1618059768.0144
MEM 19.640625 1618059768.1146
MEM 19.890625 1618059768.2149
MEM 19.890625 1618059768.3152
MEM 19.890625 1618059768.4155
MEM 19.890625 1618059768.5157
MEM 20.140625 1618059768.6160
MEM 20.140625 1618059768.7163
MEM 20.140625 1618059768.8165
MEM 20.140625 1618059768.9167
MEM 20.390625 1618059769.0169
MEM 20.390625 1618059769.1172
MEM 20.390625 1618059769.2174
MEM 20.390625 1618059769.3177
MEM 20.390625 1618059769.4179
MEM 20.640625 1618059769.5181
MEM 20.640625 1618059769.6184
MEM 20.640625 1618059769.7187
MEM 20.640625 1618059769.8189
MEM 20.890625 1618059769.9191
MEM 20.890625 1618059770.0194
MEM 20.890625 1618059770.1197
MEM 20.890625 1618059770.2199
MEM 21.140625 1618059770.3202
MEM 21.140625 1618059770.4204
MEM 21.140625 1618059770.5207
MEM 21.140625 1618059770.6209
MEM 21.394531 1618059770.7211
MEM 18.394531 1618059770.8214
MEM 18.394531 1618059770.9217
MEM 18.394531 1618059771.0220
MEM 18.394531 1618059771.1222
MEM 18.394531 1618059771.2225
MEM 18.394531 1618059771.3228
MEM 18.644531 1618059771.4231
MEM 18.644531 1618059771.5234
MEM 18.644531 1618059771.6237
MEM 18.644531 1618059771.7239
MEM 18.894531 1618059771.8242
MEM 18.894531 1618059771.9245
MEM 18.894531 1618059772.0247
MEM 18.894531 1618059772.1250
MEM 18.894531 1618059772.2253
MEM 19.144531 1618059772.3256
MEM 19.144531 1618059772.4259
MEM 19.144531 1618059772.5262
MEM 19.144531 1618059772.6265
MEM 19.144531 1618059772.7268
MEM 19.394531 1618059772.8270
MEM 19.394531 1618059772.9273
MEM 19.394531 1618059773.0276
MEM 19.394531 1618059773.1278
MEM 19.394531 1618059773.2280
MEM 19.644531 1618059773.3283
MEM 19.644531 1618059773.4285
MEM 19.644531 1618059773.5287
MEM 19.644531 1618059773.6290
MEM 19.894531 1618059773.7292
MEM 19.894531 1618059773.8294
MEM 19.894531 1618059773.9297
MEM 19.894531 1618059774.0299
MEM 20.144531 1618059774.1302
MEM 20.144531 1618059774.2304
MEM 20.144531 1618059774.3307
MEM 20.144531 1618059774.4309
MEM 20.394531 1618059774.5312
MEM 20.394531 1618059774.6314
MEM 20.394531 1618059774.7317
MEM 20.394531 1618059774.8319
MEM 20.394531 1618059774.9322
MEM 20.644531 1618059775.0324
MEM 20.644531 1618059775.1327
MEM 20.644531 1618059775.2329
MEM 20.644531 1618059775.3332
MEM 20.894531 1618059775.4334
MEM 20.894531 1618059775.5336
MEM 20.894531 1618059775.6339
MEM 20.894531 1618059775.7341
MEM 21.144531 1618059775.8344
MEM 21.144531 1618059775.9346
MEM 21.144531 1618059776.0349
MEM 21.144531 1618059776.1351
MEM 21.394531 1618059776.2354
