CMDLINE python subscriber_ack_only.py
MEM 1.128906 1618060992.0495
MEM 24.187500 1618060992.1498
MEM 31.304688 1618060992.2501
MEM 39.945312 1618060992.3504
MEM 49.761719 1618060992.4508
MEM 52.007812 1618060992.5511
MEM 52.671875 1618060992.6516
MEM 52.671875 1618060992.7520
MEM 52.671875 1618060992.8524
MEM 52.671875 1618060992.9528
MEM 52.671875 1618060993.0533
MEM 52.671875 1618060993.1536
MEM 52.671875 1618060993.2540
MEM 52.671875 1618060993.3543
MEM 52.671875 1618060993.4547
MEM 52.671875 1618060993.5550
MEM 52.671875 1618060993.6554
MEM 53.152344 1618060993.7557
MEM 53.425781 1618060993.8560
MEM 53.437500 1618060993.9564
MEM 53.437500 1618060994.0569
MEM 53.437500 1618060994.1573
MEM 53.437500 1618060994.2577
MEM 53.437500 1618060994.3581
MEM 53.437500 1618060994.4586
MEM 53.437500 1618060994.5590
MEM 53.437500 1618060994.6594
MEM 53.437500 1618060994.7598
MEM 53.437500 1618060994.8603
MEM 53.437500 1618060994.9607
MEM 53.437500 1618060995.0612
MEM 53.437500 1618060995.1616
MEM 53.437500 1618060995.2620
MEM 53.437500 1618060995.3624
MEM 53.437500 1618060995.4628
MEM 53.437500 1618060995.5632
MEM 53.437500 1618060995.6636
MEM 53.437500 1618060995.7640
MEM 53.437500 1618060995.8644
MEM 53.437500 1618060995.9648
MEM 53.437500 1618060996.0652
MEM 53.437500 1618060996.1657
MEM 53.437500 1618060996.2661
MEM 53.437500 1618060996.3665
MEM 53.437500 1618060996.4668
MEM 53.437500 1618060996.5672
MEM 53.437500 1618060996.6677
MEM 53.437500 1618060996.7680
MEM 53.437500 1618060996.8684
MEM 53.437500 1618060996.9688
MEM 53.437500 1618060997.0691
MEM 53.437500 1618060997.1695
MEM 53.437500 1618060997.2698
MEM 53.437500 1618060997.3702
MEM 53.437500 1618060997.4706
MEM 53.437500 1618060997.5710
MEM 53.437500 1618060997.6714
MEM 53.437500 1618060997.7718
MEM 53.437500 1618060997.8722
MEM 53.437500 1618060997.9725
MEM 53.437500 1618060998.0728
MEM 53.437500 1618060998.1732
MEM 53.437500 1618060998.2736
MEM 53.437500 1618060998.3739
MEM 53.437500 1618060998.4743
MEM 53.437500 1618060998.5747
MEM 53.437500 1618060998.6751
MEM 53.437500 1618060998.7756
MEM 53.437500 1618060998.8760
MEM 53.437500 1618060998.9764
MEM 53.437500 1618060999.0768
MEM 53.437500 1618060999.1772
MEM 53.437500 1618060999.2776
MEM 53.437500 1618060999.3781
MEM 53.437500 1618060999.4784
MEM 53.437500 1618060999.5789
MEM 53.437500 1618060999.6793
MEM 53.437500 1618060999.7797
MEM 53.437500 1618060999.8801
MEM 53.437500 1618060999.9804
MEM 53.437500 1618061000.0808
MEM 53.437500 1618061000.1811
MEM 53.437500 1618061000.2815
MEM 53.437500 1618061000.3818
MEM 53.437500 1618061000.4822
MEM 53.437500 1618061000.5826
MEM 53.437500 1618061000.6830
MEM 53.437500 1618061000.7834
MEM 53.437500 1618061000.8838
MEM 53.437500 1618061000.9842
MEM 53.437500 1618061001.0847
MEM 53.437500 1618061001.1849
MEM 53.437500 1618061001.2854
MEM 53.437500 1618061001.3859
MEM 53.437500 1618061001.4863
MEM 53.437500 1618061001.5867
MEM 53.437500 1618061001.6872
MEM 53.437500 1618061001.7876
MEM 53.437500 1618061001.8880
MEM 53.437500 1618061001.9884
MEM 53.437500 1618061002.0888
MEM 53.437500 1618061002.1892
MEM 53.437500 1618061002.2897
MEM 53.437500 1618061002.3901
MEM 53.437500 1618061002.4905
MEM 53.437500 1618061002.5909
MEM 53.437500 1618061002.6913
MEM 53.437500 1618061002.7917
MEM 53.437500 1618061002.8921
MEM 53.437500 1618061002.9925
MEM 53.437500 1618061003.0929
MEM 53.437500 1618061003.1933
MEM 53.437500 1618061003.2937
MEM 53.437500 1618061003.3941
MEM 53.437500 1618061003.4945
MEM 53.437500 1618061003.5949
MEM 53.437500 1618061003.6952
MEM 53.437500 1618061003.7956
MEM 53.437500 1618061003.8960
MEM 53.437500 1618061003.9963
MEM 53.437500 1618061004.0967
MEM 53.437500 1618061004.1971
MEM 53.437500 1618061004.2974
MEM 53.437500 1618061004.3978
MEM 53.437500 1618061004.4983
MEM 53.437500 1618061004.5987
MEM 53.437500 1618061004.6992
MEM 53.437500 1618061004.7996
MEM 53.437500 1618061004.9000
MEM 53.437500 1618061005.0004
MEM 53.437500 1618061005.1008
MEM 53.437500 1618061005.2012
MEM 53.437500 1618061005.3016
MEM 53.437500 1618061005.4021
MEM 53.437500 1618061005.5024
MEM 53.437500 1618061005.6028
MEM 53.437500 1618061005.7031
MEM 53.437500 1618061005.8036
MEM 53.437500 1618061005.9040
MEM 53.437500 1618061006.0044
MEM 53.437500 1618061006.1048
