CMDLINE python subscriber_async.py
MEM 1.136719 1618060767.4665
MEM 23.832031 1618060767.5668
MEM 31.191406 1618060767.6672
MEM 39.718750 1618060767.7675
MEM 47.332031 1618060767.8678
MEM 47.332031 1618060767.9681
MEM 49.539062 1618060768.0685
MEM 51.777344 1618060768.1688
MEM 52.441406 1618060768.2692
MEM 52.441406 1618060768.3696
MEM 52.441406 1618060768.4701
MEM 52.441406 1618060768.5706
MEM 52.441406 1618060768.6710
MEM 52.441406 1618060768.7714
MEM 52.441406 1618060768.8719
MEM 52.441406 1618060768.9723
MEM 52.441406 1618060769.0728
MEM 52.441406 1618060769.1732
MEM 52.441406 1618060769.2736
MEM 52.441406 1618060769.3739
MEM 52.441406 1618060769.4743
MEM 52.441406 1618060769.5746
MEM 52.441406 1618060769.6750
MEM 52.441406 1618060769.7754
MEM 52.441406 1618060769.8757
MEM 52.441406 1618060769.9761
MEM 52.441406 1618060770.0765
MEM 52.441406 1618060770.1770
MEM 52.441406 1618060770.2773
MEM 52.441406 1618060770.3777
MEM 52.441406 1618060770.4782
MEM 52.441406 1618060770.5785
MEM 52.441406 1618060770.6788
MEM 52.441406 1618060770.7791
MEM 52.441406 1618060770.8794
MEM 52.441406 1618060770.9798
MEM 52.441406 1618060771.0802
MEM 52.441406 1618060771.1805
MEM 52.441406 1618060771.2808
MEM 52.441406 1618060771.3811
MEM 52.441406 1618060771.4813
MEM 52.441406 1618060771.5817
MEM 52.441406 1618060771.6820
MEM 52.441406 1618060771.7824
MEM 52.929688 1618060771.8828
MEM 53.074219 1618060771.9830
MEM 53.304688 1618060772.0833
MEM 53.304688 1618060772.1836
MEM 53.304688 1618060772.2838
MEM 53.304688 1618060772.3841
MEM 53.304688 1618060772.4843
MEM 53.304688 1618060772.5845
MEM 53.304688 1618060772.6847
MEM 53.597656 1618060772.7849
MEM 53.597656 1618060772.8851
MEM 53.597656 1618060772.9854
MEM 53.597656 1618060773.0856
MEM 53.597656 1618060773.1859
MEM 53.597656 1618060773.2861
MEM 53.597656 1618060773.3863
MEM 53.597656 1618060773.4866
MEM 53.597656 1618060773.5868
MEM 53.894531 1618060773.6871
MEM 53.894531 1618060773.7873
MEM 53.894531 1618060773.8876
MEM 53.894531 1618060773.9878
MEM 53.894531 1618060774.0881
MEM 53.894531 1618060774.1883
MEM 53.894531 1618060774.2886
MEM 53.894531 1618060774.3888
MEM 53.894531 1618060774.4891
MEM 54.242188 1618060774.5893
MEM 54.242188 1618060774.6895
MEM 54.242188 1618060774.7898
MEM 54.242188 1618060774.8900
MEM 54.242188 1618060774.9903
MEM 54.242188 1618060775.0906
MEM 54.242188 1618060775.1908
MEM 54.253906 1618060775.2910
MEM 54.554688 1618060775.3913
MEM 54.554688 1618060775.4916
MEM 54.554688 1618060775.5918
MEM 54.554688 1618060775.6921
MEM 54.554688 1618060775.7923
MEM 54.554688 1618060775.8925
MEM 54.554688 1618060775.9928
MEM 54.554688 1618060776.0931
MEM 54.554688 1618060776.1933
MEM 54.863281 1618060776.2935
MEM 54.863281 1618060776.3938
MEM 54.863281 1618060776.4940
MEM 54.863281 1618060776.5943
MEM 54.863281 1618060776.6945
MEM 54.863281 1618060776.7947
MEM 54.863281 1618060776.8950
MEM 54.863281 1618060776.9953
MEM 54.863281 1618060777.0956
MEM 55.191406 1618060777.1958
MEM 55.191406 1618060777.2960
MEM 55.191406 1618060777.3962
MEM 55.191406 1618060777.4965
MEM 55.191406 1618060777.5967
MEM 55.191406 1618060777.6970
MEM 55.191406 1618060777.7972
MEM 55.191406 1618060777.8975
MEM 55.191406 1618060777.9977
MEM 55.492188 1618060778.0980
MEM 55.492188 1618060778.1982
MEM 55.492188 1618060778.2984
MEM 55.492188 1618060778.3987
MEM 55.492188 1618060778.4989
MEM 55.492188 1618060778.5992
MEM 55.492188 1618060778.6995
MEM 55.492188 1618060778.7998
MEM 55.492188 1618060778.9000
MEM 55.816406 1618060779.0003
MEM 55.816406 1618060779.1006
MEM 55.816406 1618060779.2009
MEM 55.816406 1618060779.3012
MEM 55.816406 1618060779.4015
MEM 55.816406 1618060779.5017
MEM 55.816406 1618060779.6020
MEM 55.816406 1618060779.7022
MEM 55.816406 1618060779.8025
MEM 56.132812 1618060779.9027
MEM 56.132812 1618060780.0030
